status,age_group,education,industry,location,ai_risk,years_of_experience,monthly_salary_(inr),date_recorded
Employed,25_34,High School,Technology,Urban,High,16.0,40700.0,2023-01-01
Employed,18-24,Diploma,Fintech,Rural,Moderate,16.0,17500.0,2023-01-02
Employed,25_34,High School,Retail,Delhi,Low,16.0,77600.0,2023-01-03
Unemployed,18-24,Masters,Retail,Urban,Low,30.0,100200.0,2023-01-04
Employed,45-54,Diploma,Fintech,Hyderabad,Low,9.0,19500.0,2023-01-05
Unemployed,25_34,Phd,Tech,Bangalore,High,16.0,54500.0,2023-01-06
Employed,35 - 44,Master,Retail,Mumbai,Moderate,20.0,136500.0,2023-01-07
Unemployed,35 - 44,Master,Retail,Rural,Low,28.0,25300.0,2023-01-08
Employed,35 - 44,Ph.D,Retail,Bangalore,Medium,0.0,103600.0,2023-01-09
Unemployed,55+,Ph.D,Tech,Bangalore,High,3.0,126500.0,2023-01-10
Unemployed,45-54,Master,Retail,Bangalore,High,16.0,73400.0,2023-01-11
Unemployed,45-54,High School,Technology,Delhi,High,16.0,27000.0,2023-01-12
Unemployed,35 - 44,High School,Retail,Delhi,High,16.0,77200.0,2023-01-13
Employed,18-24,Phd,Tech,Rural,Low,16.0,121700.0,2023-01-14
Employed,45-54,High School,Health,Urban,Low,16.0,132100.0,2023-01-15
Unemployed,18-24,Bachelors,Healthcare,Bangalore,Moderate,18.0,28700.0,2023-01-16
Employed,25_34,High School,Retail,Urban,Low,16.0,109300.0,2023-01-17
Employed,18-24,Ph.D,Tech,Rural,High,6.0,136000.0,2023-01-18
Unemployed,25-34,Bachelors,Fintech,Rural,Low,16.0,62400.0,2023-01-19
Employed,18 To 24,Bachelors,Retail,Delhi,Moderate,0.0,101100.0,2023-01-20
Unemployed,35 - 44,High School,Retail,Hyderabad,Low,16.0,108000.0,2023-01-21
Unemployed,18 To 24,Bachelors,Health,Delhi,Medium,5.0,128000.0,2023-01-22
Employed,35 - 44,Bachelors,Health,Hyderabad,High,5.0,125000.0,2023-01-23
Employed,18 To 24,Masters,Retail,Delhi,High,16.0,77200.0,2023-01-24
Unemployed,25_34,Ph.D,Technology,Hyderabad,Moderate,24.0,107700.0,2023-01-25
Unemployed,18 To 24,Master,Health,Bangalore,Low,18.0,77200.0,2023-01-26
Employed,18-24,Bachelors,Tech,Rural,Medium,16.0,59000.0,2023-01-27
Unemployed,18 To 24,Bachelors,Healthcare,Delhi,Medium,12.0,132200.0,2023-01-28
Unemployed,35 - 44,Bachelors,Education,Suburban,High,22.0,80800.0,2023-01-29
Employed,18-24,Master,Health,Urban,Low,15.0,13300.0,2023-01-30
